alpha,condition,js,nll,nll_zero
0.0,real,0.0,0.3751213550567627,0.3751213550567627
0.0,shuf,0.0,0.3751213550567627,0.3751213550567627
0.25,real,0.015178930945694447,0.231333926320076,0.3751213550567627
0.25,shuf,0.010731913149356842,0.3008827865123749,0.3751213550567627
0.5,real,0.043653570115566254,0.11387413740158081,0.3751213550567627
0.5,shuf,0.024600060656666756,0.23810090124607086,0.3751213550567627
1.0,real,0.06976315379142761,0.06870140135288239,0.3751213550567627
1.0,shuf,0.05017762631177902,0.2883729934692383,0.3751213550567627
2.0,real,0.19057759642601013,0.8886725902557373,0.3751213550567627
2.0,shuf,0.5389676690101624,4.605074405670166,0.3751213550567627
0.0,real,0.0,5.967637538909912,5.967637538909912
0.0,shuf,0.0,5.967637538909912,5.967637538909912
0.25,real,0.014198197051882744,5.65964937210083,5.967637538909912
0.25,shuf,0.01750250719487667,6.041579723358154,5.967637538909912
0.5,real,0.03168487548828125,4.651998043060303,5.967637538909912
0.5,shuf,0.029865015298128128,5.7410993576049805,5.967637538909912
1.0,real,0.1166037768125534,2.974804639816284,5.967637538909912
1.0,shuf,0.034696370363235474,4.6339030265808105,5.967637538909912
2.0,real,0.4584144651889801,2.3989765644073486,5.967637538909912
2.0,shuf,0.30350661277770996,4.27154016494751,5.967637538909912
0.0,real,0.0,0.4159245491027832,0.4159245491027832
0.0,shuf,0.0,0.4159245491027832,0.4159245491027832
0.25,real,0.015148368664085865,0.32172131538391113,0.4159245491027832
0.25,shuf,0.012678060680627823,0.3467496335506439,0.4159245491027832
0.5,real,0.029142845422029495,0.28744810819625854,0.4159245491027832
0.5,shuf,0.028787605464458466,0.2102299928665161,0.4159245491027832
1.0,real,0.052283719182014465,0.14055772125720978,0.4159245491027832
1.0,shuf,0.06141825392842293,0.11489272862672806,0.4159245491027832
2.0,real,0.09272493422031403,0.36007437109947205,0.4159245491027832
2.0,shuf,0.49556681513786316,3.790987968444824,0.4159245491027832
0.0,real,0.0,0.21731336414813995,0.21731336414813995
0.0,shuf,0.0,0.21731336414813995,0.21731336414813995
0.25,real,0.014673622325062752,0.20368251204490662,0.21731336414813995
0.25,shuf,0.025118675082921982,0.28351789712905884,0.21731336414813995
0.5,real,0.029514426365494728,0.24006903171539307,0.21731336414813995
0.5,shuf,0.07812664657831192,0.5500017404556274,0.21731336414813995
1.0,real,0.04121146351099014,0.25777044892311096,0.21731336414813995
1.0,shuf,0.12165652215480804,0.782200813293457,0.21731336414813995
2.0,real,0.5072643160820007,3.528794288635254,0.21731336414813995
2.0,shuf,0.6354906558990479,7.257124900817871,0.21731336414813995
0.0,real,0.0,1.1276146173477173,1.1276146173477173
0.0,shuf,0.0,1.1276146173477173,1.1276146173477173
0.25,real,0.009722894057631493,1.0592299699783325,1.1276146173477173
0.25,shuf,0.008428171277046204,1.218438744544983,1.1276146173477173
0.5,real,0.028823914006352425,1.0976073741912842,1.1276146173477173
0.5,shuf,0.043605200946331024,1.5171761512756348,1.1276146173477173
1.0,real,0.04166220873594284,1.0185649394989014,1.1276146173477173
1.0,shuf,0.113441601395607,2.221675157546997,1.1276146173477173
2.0,real,0.42557960748672485,3.1950039863586426,1.1276146173477173
2.0,shuf,0.6346447467803955,8.249893188476562,1.1276146173477173
0.0,real,0.0,3.6092522144317627,3.6092522144317627
0.0,shuf,0.0,3.6092522144317627,3.6092522144317627
0.25,real,0.06349927932024002,3.1360907554626465,3.6092522144317627
0.25,shuf,0.07112159579992294,3.1050710678100586,3.6092522144317627
0.5,real,0.0946328341960907,2.947017192840576,3.6092522144317627
0.5,shuf,0.10317010432481766,2.9342665672302246,3.6092522144317627
